Subject,Question,Question Image,A,A Image,B,B Image,C,C Image,D,D Image,E,E Image,Right Answer,Column1
Geography," أمامك خريطة سياسية لقارة أمريكا الجنوبية ،  يشير رقم (1) عليها إلى  .....   ",geo 1,  دولة فيدرالية       ,, دولة وحدوية       ,,دولة كونفدرالية ,,  دولة مندمجة ذات بروز,,,,A,A
Geography,  يرجع السبب الرئيس لاعتبار راتزل المؤسس الحقيقي للجغرافيا السياسية إلي ....................................,,  وضعه أول مؤلف علمي عن الجغرافيا السياسية (حمل اسمها الحالي),,‌حدد مدى قوة الدولة أو ضعفها كمركب سياسي في عدد سكانها ومواردها الاقتصادية والعلاقة بينهما,,‌ تناولها في مؤلفة (السياسة) وحدد عناصرها في خمس موضوعات,,‌    ناقش موضوع الحدود السياسية المحصنة وموقع الدولة الجغرافي وتأثير المناخ عليها  ,,,,A,A
Geography,"  للجغرافي دور واضح في حل المشكلات السياسية عبر التاريخ"" ، ومن أمثلة هذا الدور ....................................",,    رسم الحدود السياسية الحديثة في إفريقيا بعد انتهاء الحرب العالمية الأولى,, رسم الحدود السياسية الحديثة في أوربا بعد الحرب العالمية الأولى والثانية,,‌رسم الحدود السياسية بين دول قارة آسيا بعد انتهاء الحرب العالمية الثانية,,     رسم الحدود السياسية بين دول قارة أمريكا الجنوبية بعد الحرب العالمية الأولى والثانية,,,,B,B
Geography,العنصر الرئيس لنظام الحكم فى أى دولة هو ........................,,رئيس الوزراء,,الدستور,,المجالس النيابية ,,الرئيس,,,,B,B
Geography,من أهم سمات الدول المركزية سيطرة ......................,,الحكومة المركزية على المجالس النيابية ,,المجالس النيابية على السلطات المحلية ,,السلطات المحلية على الحكومة المركزية,,الحكومة المركزية على السلطات المحلية,,,,D,D
Geography,    تشير الخريطة المقابلة إلى دولة: .......................,geo 2, اليابان وهي دولة بحرية مجزأة,,    شيلي وهي دولة شريطية,,      اليابان وهي دولة شريطية,,      اليابان وهي دولة برية بحرية مجزأة,,,,A,A
Geography,    يهدف تقسيم الدولة إلى محافظات أو ولايات إلى ...........,,‌سهولة توزيع السكان على أجزاء الدولة ,,‌   تحقيق الأمن والأمان,,‌سهولة حصر عدد السكان,, تحقيق الاستقلال الذاتي,,,,B,B
Geography,   أقل دول قارة آسيا تنوعاً فى الموارد الطبيعية .................,,أفغانستان,,السعودية ,,سنغافورة ,,جزر المالديف ,,,,D,D
Geography,"    يعتقد البعض أن الحدود السياسية والتخوم مفهومين مترادفين ، والسبب فى ذلك .............",,توافر الخرائط الدقيقة.,,حداثة رسم الحدود الخطية.,,توسع الأمم والإمبراطوريات.,,اختفاء الدول القومية.,,,,B,B
Geography,    شهدت بداية القرن التاسع عشر الميلادى تطورًا كبيرًا فى تنظيم العلاقات السياسية الدولية بسبب ............,,إقامة الحدود الخطية ,,توافق الحدود مع التخوم ,,تحرر المستعمرات الأوروبية فى أفريقيا ,,الاعتماد على لجان فض المنازعات فى تقسيم الحدود,,,,A,A
Geography,    من الحدود السياسية التى تقف عائقًا أمام الإنتقال من دولة لاخرى هى الحدود  .................,,الهندسية ,, الجبلية ,,الأثنوغرافية,, البحيرية ,,,,B,B
Geography,    يعد تصفية المستعمر الأوروبى لمستعمراته فى منتصف القرن العشرين سبباً في تغير خريطة قارة ....................,,أوروبا,,أفريقيا ,,أستراليا ,,أمريكا الشمالية ,,,,B,B
Geography,    أى الدول التالية يمكن أن تضمها أثيوبيا فيصبح لها ساحل على البحر الأحمر ...................,,أريتريا ,,الصومال ,,جنوب السودان ,,جزر القمر ,,,,A,A
Geography,     من الناحية العددية يمكن أن تسمى مجموعة بشرية أقلية إذا كان ......,,يقل عدد أفراها عن 50% من السكان.,,عدد أفرادها مساو لعدد سكان الدولة.,,لا يتمتعون بكافة حقوقهم الأساسية.,,يمارس ضدهم نوعًا من التمييز.,,,,A,A
Geography,    ( الأقلية لا يهمش دورها لمجرد قلة عددها أو إنخفاض نسبتها السكانية  ) يتضح ذلك بوضوح فى دولة .................,,الولايات المتحدة الأمريكية ,,العراق ,,سويسرا  ,,جنوب أفريقيا ,,,,D,D
Geography,    يمثل الحد البحرى للدول الساحلية جزءًا من .........................,,المياة الدولية ,,المياه الإقليمية ,,المياه المحايدة,,أعالى البحار ,,,,B,B
Geography,    إذا كان خط الحد السياسى النهرى يصل كل النقط التى تقع على مسافة متساوية من كلا الشاطئين فإنه يتماشى مع .................,,أحد ضفتى النهر ,,الخط الأوسط للنهر ,,خط العمق الملاحى ,,خط تقسيم المياه ,,,,B,B
Geography,    العقبة الأولى التى تعترض الدولة في سعيها لتطوير مجالاتها  المختلفة ..............................,,الموارد الطبيعية والبشرية.,,الموارد المصنعة ومصادر القوى المحركة.,,الموارد البشرية والقوى المحركة.,,الموارد المائية ومصادر القوى المحركة.,,,,A,A
Geography,    تندرج دراسة التكتلات الاقتصادية على الخريطة السياسية للعالم  تحت أحد أهتمامات الجغرافيا السياسية  وهو ......................,,التحليل السياسى للقوة ,,النظام العالمي ومتغيراته ,,العلاقات السياسية الدولية ,,المشكلات السياسية ,,,,B,B
Geography,   البعد الأول لتكوين التكتل الاقتصادى هو البعد ...........................,,السياسي,,الجغرافي,,العسكري,,الديموغرافي,,,,B,B
Geography,    اتسمت السياسة الإصلاحية للقيادة السياسية للإتحاد السوفيتى فى مطلع عام 1985م بالطابع .............................,,السياسى ,,الاقتصادى ,,العسكرى ,,الاجتماعى ,,,,B,B
Geography,    كان للمساحة اثر إيجابي فى طبيعة العلاقات الدولية  لدولة .......................,,النرويج ,,تركيا ,,الولايات المتحدة الأمريكية ,,بلجيكا ,,,,C,C
Geography,    مثل تفكك الاتحاد السوفيتى تقليلاً لجدوى وجود  ..........................,,حلف وارسو,,حلف بغداد ,,الاتحاد الأوروبى ,,اتحاد الكوميسا ,,,,A,A
Geography,يرجع الدور المؤثر لمصر فى العلاقات الدولية إلى ........................,,طبيعتها الديموغرافية ,,التنوع والتباين الثقافى,,امتلاكها ممر برى يربط بين قارتين,,ريادتها للأمة العربية ,,,,C,C
Geography,أى من الدول التالية كانت القوة الديموجرافية هي المحرك الأساسي لعلاقاتها الدولية ؟ ......................,,الصين ,,ألمانيا ,,بولندا ,,تركيا ,,,,A,A
Geography,يظهر التأثير السلبى للموقع على العلاقات الدولية فى دولة .........................,,الولايات المتحدة الأمريكية ,,البرازيل ,,ألمانيا ,,أستراليا ,,,,D,D
Geography,تعود اللبنة الأولى لتأسيس النظام العالمى الجديد إلى ...........................,,الحرب العالمية الثانية ,,الحرب العالمية الأولى,,الحرب الباردة ,,حرب الخليج ,,,,B,B
Geography,"""تكمن قوة الدولة في عدد سكانها ومواردها الاقتصادية والعلاقة بينهما"" يتفق هذا الرأي مع كتابات..............",,أرسطو ,,ماكيندر ,,راتزل ,,ابن خلدون ,,,,A,A
Geography,أي العوامل التالية سهل مهمة ألمانيا فى إجتياح الدول المجاورة لها أثناء الحرب العالمية الثانية ؟ ..........................,,صغر المساحة ,,الموقع الجغرافي,,تنوع الموارد,,قلة السكان,,,,A,A
Geography,كان العامل المؤثر لنشأة الحدود بين الدول فى العصور الوسطى هو عامل ........................,,القومية ,,اللغة ,,الدين ,,الثقافة ,,,,C,C
Geography, يختص بإدارة الشئون الحياتية للسكان فى كندا ...............................,,رئيس الدولة ,,حاكم الولاية او المقاطعة,,الحكومة ,,البرلمان ,,,,B,B
Geography, خلا حلف وارسو منذ تأسيسه من دول ...... ,, شرق اوربا ,,شمال غرب اسيا ,,شمال امريكا الشمالية ,,شمال آسيا ,,,,C,C
Geography,يتأثر المواطنون فى الدول المستقبلة للمهاجرين  .........................,,سياسيا ,,علمياً,,عسكريا ,,اقتصاديا ,,,,D,D
Geography, يوضح اللون الأحمر على الخريطة أقلية ......................... ,geo 3,لغوية ,,عرقية ,,دينية ,,قومية ,,,,A,A
Geography,يتشابه نهر النيل مع نهر الراين في ................................,,الإمتداد الفلكي ,,الأهمية الملاحية ,,الدور الحدودي ,,احتمالية ظهور مشكلات اقتصادية سياسية عليه ,,,,D,D
Geography,شاع مصطلح النظام العالمى الجديد منذ ......,,حرب الخليج ,,حل حلف بغداد ,,الحرب العالمية الثانية ,,الحرب العالمية الأولى ,,,,A,A
Geography,أى الدول التالية تكون السلطة فيها متركزة فى يد رئيس الوزراء والبرلمان ...........,,السعودية ,,فرنسا ,,الولايات المتحدة الأمريكية ,,بريطانيا ,,,,D,D
Geography,أى الحدود التالية تعد مثالا لأقدر الحدود السياسية على القيام بوظيفتها الأساسية  ؟ ,,الحد بين مصر والسودان ,,الحد بين فرنسا و المانيا ,,الحد بين الأرجنتين وشيلي ,,الحد بين أوكرانيا و بيلاروسيا ,,,,C,C
Geography,تزداد سيطرة الدولة على مياهها بالاتجاه من المياه التكميلية إلى ...............,,المياه المحايدة ,,أعالى البحار ,,المياه الدولية ,,خط الساحل ,,,,D,D
Geography,اى الدول التالية أكثر اعتمادا علىى الدول المحيطة بها ؟,,بتسوانا و زامبيا ,,المغرب و موريتانيا ,,كرواتيا و ألمانيا ,,الفاتيكان و ليسوتو ,,,,D,D
Geography,في أى الدول التالية تمت اولى خطوات حل المشكلات النهرية بأوربا ؟,,فرنسا ,,اسبانيا ,,إيطاليا ,,بريطانيا ,,,,A,A
Geography,"أمامك الهرم السكانى لدولة الصين عام 2020م ، يمكننا أن نستدل منه على  .....................",geo 4,انخفاض اعداد الأيدي العاملة ,,انخفاض معدلات المواليد ,,انخفاض معدلات الإعالة ,,ضعف الإمكانات البشرية ,,,,C,C
Geography,أى مما يلى  تستبعده الدول الساعية للسلام فى حلها لنزاع دولي  ؟,,التكتلات الإقتصادية ,,الوساطة الدولية ,,مجلس الأمن ,,الأحلاف العسكرية ,,,,D,D
Geography,أى القارات التالية تختفى فيها الحدود الخطية ؟ ,,اسيا ,,استراليا,,افريقيا ,,اوربا ,,,,B,B
Geography,أى المشكلات التالية تعد مثالا للمشكلات الإجتماعية ذات البعد السياسي ؟,,النزاع  فى شرق افريقيا ,,النزاع بين تونس وليبيا ,,النزاع بين الهند وباكستان ,,النزاع  فى جنوب افريقيا ,,,,D,D
Geography,اى الدول التالية اعربت عن تأيدها الضمني لدول شرق اوربا ؟,,الهند ,,بولندا ,,الصين ,,فرنسا ,,,,C,C
Geography,يؤكد انفصال المملكة المتحدة  فى الفترة الاخيرة عن الاتحاد الاوربي  على ....................................,,ضعف الدول الفيدرالية ,,عدم استقرار الدول البرلمانية ,,ضعف الدول الكونفدرالية ,,عدم مواكبة بريطانيا التطور الغربي ,,,,C,C
Geography,أى الدول التالية كانت عضوا فى احد الاحلاف المنحلة وعضوا ايضا فى حلف قائم ؟,,فرنسا ,,تركيا ,,ألمانيا ,,مصر ,,,,B,B
Geography,هدفت سياسة الاستعمار الاوربي الى اختلاق أزمات داخليه ودولية فى البلدان التى احتلتها قبل تركها وخير مثال على ذلك المشكلات  ..........................,, الملاحية ,,التقنية  ,, الدبلوماسية ,,الحدودية ,,,,D,D
Geography,كان إعلان سقوط حائط برلين بمثابة اعلان رسمي عن .............................,,انتصار الشيوعية ,,هزيمة الشيوعية ,,تفكك الإتحاد السوفيتي ,,حل حلف وارسو ,,,,B,B
